Artist,Album,Date,Score,Genre
Xiu Xiu,"""Into the Night""",8-Apr-16,,"['julee cruise', 'new music', 'track', 'cover', 'twin peaks', 'angelo badalamenti', 'polyvinyl', 'dream pop', 'noise', 'experimental', 'other']"
Xiu Xiu,"""Into the Night""",8-Apr-16,,"['julee cruise', 'new music', 'track', 'cover', 'twin peaks', 'angelo badalamenti', 'polyvinyl', 'dream pop', 'noise', 'experimental', 'other']"
PJ Harvey,"""The Orange Monkey""",8-Apr-16,,"['new music', 'track', 'single', 'the hope six demolition project', 'vagrant', 'rock', 'singer-songwriter', 'uk']"
Open Mike Eagle & Paul White,Hella Personal Film Festival,8-Apr-16,7,"['hella personal film festival', 'collaboration', 'mello music group', 'rap', 'hip hop', 'west coast', 'conscious', 'abstract hip hop', '7/10']"
Open Mike Eagle & Paul White,Hella Personal Film Festival,8-Apr-16,7,"['hella personal film festival', 'collaboration', 'mello music group', 'rap', 'hip hop', 'west coast', 'conscious', 'abstract hip hop', '7/10']"
Tiny Little Houses,"""Milo Tin"" (Video)",12-Apr-16,,"['new music', 'track', 'single', 'video', 'ivy league', 'melbourne', 'rock', 'indie']"
Babymetal,Metal Resistance,12-Apr-16,6,"['ral', 'sony', 'loud rock', 'j-pop', 'heavy metal', '6/10', 'digibro']"
Babyfather,"""BBF"" Hosted by DJ Escrow",12-Apr-16,6,"['hyperdub', 'experimental', 'rap', 'hip hop', 'noise', 'grime', 'uk', 'spoken word', 'sound collage', 'other', '6/10']"
Tim Hecker,Love Streams,13-Apr-16,5,"['4ad', 'electronic', 'ambient', 'experimental', 'choral', 'glitch', 'progressive electronic', '5/10']"
Deftones,Gore,14-Apr-16,4,"['reprise', 'loud rock', 'alternative metal', '4/10']"
Kvelertak,"""Berserkr""",16-Apr-16,,"['new music', 'track', 'nattesferd', 'roadrunner', 'norway', 'loud rock', 'heavy metal', 'hardcore punk', 'black metal']"
Action Bronson,"""Mr. 2 Face"" ft. Meyhem Lauren & Jah Tiger",16-Apr-16,,"['meyhem lauren', 'jah tiger', 'new music', 'track', 'blue chips 7000', 'rap', 'hip hop', 'east coast']"
Meyhem Lauren,"""Badmon Ting"" ft. Big Body Bes (Video)",16-Apr-16,,"['action bronson', 'new music', 'track', 'video', ""piatto d'oro"", ""fool's gold"", 'rap', 'hip hop', 'east coast']"
Meyhem Lauren,"""Badmon Ting"" ft. Big Body Bes (Video)",16-Apr-16,,"['action bronson', 'new music', 'track', 'video', ""piatto d'oro"", ""fool's gold"", 'rap', 'hip hop', 'east coast']"
Andy Stott,"""Selfish""",16-Apr-16,,"['new music', 'track', 'too many voices', 'modern love', 'electronic', 'techno', 'dub']"
Freeway,"""First Things First""",16-Apr-16,,"['girl talk', 'free will', 'new music', 'track', 'babygrande', 'rap', 'hip hop', 'east coast']"
Nails,"""You Will Never Be One of Us"" (Video)",16-Apr-16,,"['new music', 'track', 'video', 'nuclear blast', 'loud rock', 'grindcore', 'powerviolence']"
PJ Harvey,"""The Ministry of Social Affairs""",16-Apr-16,,"['new music', 'track', 'the hope six demolition project', 'vagrant', 'rock', 'singer-songwriter', 'uk']"
PJ Harvey,"""The Ministry of Social Affairs""",16-Apr-16,,"['new music', 'track', 'the hope six demolition project', 'vagrant', 'rock', 'singer-songwriter', 'uk']"
Jameszoo,"""Flu"" ft. Arthur Verocai",16-Apr-16,,"['arthur verocai', 'new music', 'track', 'fool', 'brainfeeder', 'netherlands', 'electronic', 'jazz']"
Jameszoo,"""Flu"" ft. Arthur Verocai",16-Apr-16,,"['arthur verocai', 'new music', 'track', 'fool', 'brainfeeder', 'netherlands', 'electronic', 'jazz']"
DJ Shadow,"""Nobody Speak"" ft. Run the Jewels",16-Apr-16,,"['run the jewels', 'new music', 'track', 'the mountain will fall', 'mass appeal', 'rap', 'hip hop']"
BADBADNOTGOOD,"""Speaking Gently""",16-Apr-16,,"['speaking gently', 'new music', 'track', 'single', 'jazz', 'fusion', 'other', 'iv']"
M83,Junk,17-Apr-16,3,"['mute', 'pop', 'indietronica', 'synthpop', 'disco', 'boogie', '3/10']"
PJ Harvey,The Hope Six Demolition Project,18-Apr-16,7,"['island', 'vagrant', 'uk', 'rock', 'alternative', 'folk', 'art rock', 'singer-songwriter', '7/10']"
Deakin,Sleep Cycle,19-Apr-16,7,"['self-released', 'singer-songwriter', 'neo-psychedelia', 'avant-folk', 'field recordings', 'drone', 'ambient', 'noise pop', 'other', '7/10']"
Snoop Dogg,"""Late Nights""",20-Apr-16,,"['mike will made it', 'new music', 'track', 'single', '420', 'rap', 'hip hop', 'west coast']"
The Underachievers,"""Play That Way""",20-Apr-16,,"['new music', 'track', 'single', '420', 'rap', 'hip hop', 'east coast']"
of Montreal,"""Computer Blue"" (Prince Cover)",22-Apr-16,,"['computer blue', 'new music', 'track', 'cover', 'purple rain', 'pop', 'rock', 'synth funk']"
Mean Jeans,"""Michael Jackson Was Tight""",22-Apr-16,,"['tight new dimension', 'new music', 'track', 'fat wreck chords', 'rock', 'punk', 'party', 'power pop']"
Fumaça Preta,"""La Trampa"" (Video)",22-Apr-16,,"['impuros fanaticos', 'soundway', 'new music', 'track', 'video', 'world', 'tropical', 'afrobeat', 'psychedelic', 'other']"
Xenia Rubinos,"""Lonely Lover"" (Video)",22-Apr-16,,"['new music', 'track', 'video', 'single', 'black terry cat', 'anti', 'singer-songwriter', 'pop', 'alternative r&b', 'vocal jazz', 'art rock']"
Xenia Rubinos,"""Lonely Lover"" (Video)",22-Apr-16,,"['new music', 'mixtape', 'self-released', '420', 'electronic', 'indie', 'trap', 'vaporwave', 'edm', 'meme']"
Xenia Rubinos,"""Lonely Lover"" (Video)",22-Apr-16,,"['new music', 'mixtape', 'self-released', '420', 'electronic', 'indie', 'trap', 'vaporwave', 'edm', 'meme']"
Vektor,"""LCD (Liquid Cyrstal Disease)""",22-Apr-16,,"['liquid crystal disease', 'new music', 'track', 'terminal redux', 'earache', 'arizona', 'loud rock', 'metal', 'progressive', 'thrash']"
Xavier Wulf,"""Help Yo Self""",22-Apr-16,,"['new music', 'track', 'byous', 'hollow squad', 'rap', 'hip hop', 'cloud', 'memphis']"
Xavier Wulf,"""Help Yo Self""",22-Apr-16,,"['new music', 'track', 'byous', 'hollow squad', 'rap', 'hip hop', 'cloud', 'memphis']"
case/lang/veirs,"""Honey and Smoke""",22-Apr-16,,"['new music', 'single', 'track', 'neko case', 'k.d. lang', 'laura veirs', 'collaboration', 'singer-songwriter', 'pop', 'anti', 'indie rock']"
case/lang/veirs,"""Honey and Smoke""",22-Apr-16,,"['new music', 'single', 'track', 'neko case', 'k.d. lang', 'laura veirs', 'collaboration', 'singer-songwriter', 'pop', 'anti', 'indie rock']"
YC the Cynic,The Farewell Tape,22-Apr-16,,"['new music', 'mixtape', 'kemba', 'rap', 'hip hop', 'east coast']"
Spark Master Tape,Silhouette of a Sunkken City,22-Apr-16,2,"['mixtape', 'self-released', 'rap', 'hip hop', '2/10']"
A$AP Ferg,Always Strive and Prosper,26-Apr-16,2,"['rca', 'rap', 'hip hop', 'trap', 'pop rap', 'hip house', '2/10']"
Sturgill Simpson,A Sailor's Guide to Earth,26-Apr-16,8,"['atlantic', 'country', 'soul', 'southern', 'chamber pop', 'singer-songwriter', 'other', '8/10']"
Beyoncé,Lemonade,27-Apr-16,8,"['columbia', 'pop', 'alternative r&b', 'hard rock', 'funk', 'country', '8/10']"
Xiu Xiu,Plays the Music of Twin Peaks,29-Apr-16,9,"['polyvinyl', 'cover', 'rock', 'experimental', 'dark ambient', 'jazz', 'dream pop', 'noise', '9/10']"
Drake,Views,2-May-16,4,"['young money', 'ovo', 'rap', 'hip hop', 'pop', 'dancehall', 'contemporary r&b', '4/10']"
Radiohead,"""Burn the Witch""",4-May-16,,"['track', 'single', 'xl', 'rock', 'chamber pop']"
James Blake,"""Radio Silence""",5-May-16,,"['the colour in anything', 'new music', 'track', 'single', 'polydor', 'electronic', 'pop', 'alternative r&b', 'post-dubstep']"
King Gizzard & The Lizard Wizard,Nonagon Infinity,5-May-16,8,"['flightless', 'rock', 'heavy psych', 'garage punk', 'noise rock', '8/10']"
Aesop Rock,The Impossible Kid,6-May-16,8,"['rhymesayers', 'rap', 'hip hop', 'abstract', '8/10']"
Radiohead,"""Burn the Witch"" / ""Daydreaming"" (Videos)",6-May-16,,"['new music', 'track', 'single', 'video', 'rock', 'chamber pop', 'daydreaming']"
Radiohead,"""Burn the Witch"" / ""Daydreaming"" (Videos)",6-May-16,,"['new music', 'track', 'single', 'video', 'rock', 'chamber pop', 'daydreaming']"
Death Grips,"""Eh""",6-May-16,,"['bottomless pit', 'new music', 'track', 'third worlds', 'rap', 'hip hop', 'experimental', 'glitch']"
Dan Deacon,"""An Opal Toad with Obsidian Eyes: Movement 1"" (Excerpt)",6-May-16,,"['new music', 'track', 'excerpt', 'composition', 'electronic', 'drone', 'calder quartet', 'now ensemble', 'fields festival', 'baltimore', 'contemporary classical', 'post-minimalism']"
Scallops Hotel,"""discussing lanquidity with the Moor"" ft. SB the Moor",6-May-16,,"['discussing lanquidity with the moor', 'new music', 'track', 'single', 'too much of life is mood', 'ruby yacht', 'rap', 'hip hop', 'abstract']"
Dieterich & Barnes,"""Out and About""",6-May-16,,"['out and about', 'the coral casino', 'new music', 'track', 'single', 'living music duplication', 'experimental rock', 'instrumental', 'collaboration', 'improvisation', 'other']"
Dieterich & Barnes,"""Out and About""",6-May-16,,"['out and about', 'the coral casino', 'new music', 'track', 'single', 'living music duplication', 'experimental rock', 'instrumental', 'collaboration', 'improvisation', 'other']"
Mac DeMarco & Jon Lent,"""I Was a Fool to Care"" (James Taylor Cover / Video)",6-May-16,,"['i was a fool to care', 'james taylor', 'cover', 'new music', 'track', 'single', 'video', 'singer-songwriter', 'rock', 'folk pop']"
Mac DeMarco & Jon Lent,"""I Was a Fool to Care"" (James Taylor Cover / Video)",6-May-16,,"['i was a fool to care', 'james taylor', 'cover', 'new music', 'track', 'single', 'video', 'singer-songwriter', 'rock', 'folk pop']"
Har Mar Superstar,"""It Was Only Dancing (Sex)"" (Video)",6-May-16,,"['sex', 'new music', 'track', 'single', 'video', 'cult', 'best summer ever', 'pop', 'contemporary r&b', 'synth funk']"
Har Mar Superstar,"""It Was Only Dancing (Sex)"" (Video)",6-May-16,,"['sex', 'new music', 'track', 'single', 'video', 'cult', 'best summer ever', 'pop', 'contemporary r&b', 'synth funk']"
Xenia Rubinos,"""Black Stars""",6-May-16,,"['black terry cat', 'new music', 'track', 'single', 'anti', 'singer-songwriter', 'alternative r&b', 'art pop', 'other']"
Marissa Nadler,"""Katie I Know""",6-May-16,,"['strangers', 'new music', 'track', 'single', 'sacred bones', 'singer-songwriter', 'other']"
Death Grips,Bottomless Pit,9-May-16,9,"['third worlds', 'harvest', 'rap', 'hip hop', 'electro-industrial', 'noise rock', 'digital hardcore', '9/10']"
Radiohead,A Moon Shaped Pool,10-May-16,8,"['xl', 'rock', 'chamber pop', 'ambient', '8/10']"
Lil Uzi Vert,Lil Uzi Vert vs. The World,10-May-16,4,"['mixtape', 'generation now', 'rap', 'hip hop', 'trap', '4/10']"
Vektor,Terminal Redux,11-May-16,8,"['earache', 'loud rock', 'thrash', 'black metal', 'progressive', '8/10']"
James Blake,The Colour in Anything,12-May-16,5,"['polydor', 'electronic', 'alternative r&b', 'singer-songwriter', 'ambient pop', 'uk bass', 'future garage', '5/10']"
Skepta,Konnichiwa,14-May-16,7,"['boy better know', 'rap', 'hip hop', 'grime', 'uk', '7/10']"
RiFF RaFF,"""4 MiLLiON""",15-May-16,,"['new music', 'track', 'single', 'peach panther', 'neon nation', 'rap', 'hip hop', 'southern']"
Classixx,"""I Feel Numb"" ft. Alex Frankel",15-May-16,,"['new music', 'track', 'single', 'faraway reach', 'innovative leisure', 'los angeles', 'nu-disco', 'pop', 'synth funk', 'electronic', 'alex frankel', 'holy ghost']"
Mark Kozelek,"""Moon River"" (Henry Mancini & Johnny Mercer Cover)",15-May-16,,"['new music', 'track', 'cover', 'sings favorites', 'caldo verde', 'singer-songwriter', 'standard', 'piano', 'other']"
Tobacco,"""Gods in Heat""",15-May-16,,"['new music', 'track', 'sweatbox dynasty', 'ghostly', 'electronic', 'neo-psychedelia', 'wonky', 'experimental pop', 'other']"
Metronomy,"""Old Skool"" (Video)",15-May-16,,"['new music', 'track', 'single', 'video', 'summer 08', 'because music', 'pop', 'indietronica', 'synthpop']"
Marcus Marr,"""Rocketship""",15-May-16,,"['single', 'new music', 'track', 'dfa', 'electronic', 'left field', 'house', 'techno']"
Gorguts,Pleiades' Dust,16-May-16,8,"['ep', 'loud rock', 'season of mist', 'death metal', 'technical death metal', 'sludge metal', '8/10']"
Post Malone,August 26th,16-May-16,,"['mixtape', 'self-released', 'rap', 'hip hop', 'alternative r&b', 'shitpost', ""rocko's modern life""]"
ANOHNI,Hopelessness,17-May-16,6,"['secretly canadian', 'pop', 'art pop', 'glitch pop', '6/10']"
Chance the Rapper,Coloring Book,18-May-16,7,"['mixtape', 'self-released', 'rap', 'hip hop', 'jazz rap', 'hip house', 'gospel', '7/10']"
Kaytranada,99.90%,19-May-16,6,"['xl', 'electronic', 'contemporary r&b', 'instrumental hip hop', 'dance pop', 'house', '6/10']"
Kvelertak,Nattesferd,20-May-16,6,"['roadrunner', 'loud rock', 'black metal', 'hard rock', 'hardcore punk', '6/10']"
Modern Baseball,Holy Ghost,23-May-16,7,"['run for cover', 'rock', 'emo', 'pop rock', 'indie', '7/10']"
Car Seat Headrest,Teens of Denial,24-May-16,8,"['matador', 'rock', 'indie', 'lo-fi', 'bedroom pop', 'garage rock', '8/10']"
Civil Civic,"""The Hunt""",24-May-16,,"['new music', 'track', 'single', 'electronic', 'industrial', 'dance-punk', 'instrumental']"
Deerhoof,"""That Ain't No Life to Me""",24-May-16,,"['new music', 'track', 'single', 'the magic', 'polyvinyl', 'rock', 'punk', 'noise rock']"
Charge It to the Game,"""Bite Me"" ft. Hemlock Ernst",24-May-16,,"['kyle mabson', 'bite me', 'hemlock ernst', 'new music', 'track', 'single', 'urban hall of fame', 'ghost ramp', 'rap', 'hip hop', 'southern', 'west coast', 'industrial hip hop']"
Clams Casino,"""Blast"" (Video)",24-May-16,,"['new music', 'track', 'single', 'video', '32 levels', 'columbia', 'electronic', 'instrumental hip hop', 'cloud rap']"
Mykki Blanco,"""High School Never Ends"" ft. Woodkid (Video)",24-May-16,,"['high school never ends', 'new music', 'track', 'single', 'video', 'rap', 'hip hop', 'queer']"
BADBADNOTGOOD,"""Time Moves Slow"" ft. Sam Herring",24-May-16,,"['time moves slow', 'new music', 'track', 'single', 'iv', 'sam herring', 'future islands', 'innovative leisure', 'nu jazz', 'indie pop', 'jazz', 'jazz fusion', 'other']"
Brand New,"""I Am a Nightmare""",24-May-16,,"['new music', 'track', 'single', 'procrastinate music traitors', 'rock', 'emo', 'indie', 'pop punk', 'post-hardcore']"
Marissa Nadler,Strangers,25-May-16,8,"['sacred bones', 'singer-songwriter', 'psych folk', 'dream pop', 'contemporary folk', '8/10']"
Moonsorrow,Jumalten Aika,27-May-16,8,"['century media', 'loud rock', 'black metal', 'symphonic metal', 'folk metal', 'viking metal', '8/10']"
Swans,"""When Will I Return""",28-May-16,,"['new music', 'track', 'single', 'the glowing man', 'young god', 'rock', 'neofolk', 'experimental rock', 'post-rock']"
Joey Bada$$,"""Devastated""",28-May-16,,"['new music', 'track', 'single', 'pro era', 'rap', 'hip hop', 'east coast']"
Clams Casino,"""Witness"" ft. Lil B (Video)",28-May-16,,"['lil b', 'new music', 'track', 'single', 'video', '32 levels', 'rap', 'hip hop', 'cloud rap', 'columbia']"
Unknown Mortal Orchestra,"""First World Problem""",28-May-16,,"['new music', 'track', 'single', 'jagjaguwar', 'pop', 'indie', 'synth funk', 'psych pop']"
Defiled,"""Conspiracy""",28-May-16,,"['new music', 'track', 'single', 'towards inevitable ruin', 'season of mist', 'loud rock', 'death metal', 'brutal death metal']"
Bob Dylan,"""Don't Think Twice, It's All Right"" (Animal Collective Remix)",28-May-16,,"['animal collective', 'deakin', 'geologist', 'new music', 'track', 'remix', 'singer-songwriter', 'folk', 'neo-psychedelia']"
DJ Paypal,"""Dose"" ft. DJ Earl & DJ Taye",28-May-16,,"['dj taye', 'dose', 'new music', 'track', 'single', 'adult swim', 'teklife', 'electronic', 'footwork', 'juke']"
PUP,The Dream Is Over,30-May-16,6,"['side one dummy', 'rock', 'pop punk', 'post-hardcore', 'grunge', '6/10', 'asmr']"
Death Grips,"""More Than the Fairy"" ft. Les Claypool",31-May-16,,"['les claypool', 'track', 'third worlds', 'rap', 'hip hop', 'experimental hip hop', 'noise rock', 'digital hardcore', 'glitch', 'industrial']"
Flume,Skin,2-Jun-16,5,"['mom + pop', 'electronic', 'wonky', 'alternative r&b', 'glitch hop', '5/10']"
The Avalanches,"""Frankie Sinatra"" ft. Danny Brown & MF DOOM",3-Jun-16,,"['danny brown', 'mf doom', 'track', 'wildflower', 'modular', 'electronic', 'rap', 'hip hop', 'plunderphonics', 'electro swing', 'calypso']"
The Avalanches,"""Frankie Sinatra"" ft. Danny Brown & MF DOOM",3-Jun-16,,"['danny brown', 'mf doom', 'track', 'wildflower', 'modular', 'electronic', 'rap', 'hip hop', 'plunderphonics', 'electro swing', 'calypso']"
of Montreal,"""It's Different for Girls""",4-Jun-16,,"['new music', 'track', 'single', 'innocence reaches', 'polyvinyl', 'pop', 'new wave', 'funk rock', 'psych pop']"
Kanye West et al.,"""Champions (Round & Round)""",4-Jun-16,,"['round & round', 'travis scott', 'quavo', 'big sean', 'yo gotti', 'gucci mane', '2 chainz', 'desiigner', 'good music', 'cruel winter', 'new music', 'track', 'single', 'rap', 'hip hop']"
Young Thug & Travis Scott,"""Pick Up the Phone"" ft. Quavo",4-Jun-16,,"['quavo', 'pick up the phone', 'new music', 'track', 'single', 'epic', 'rap', 'hip hop']"
Clarence Clarity & Pizza Boy,"""Splitting Hairs""",4-Jun-16,,"['splitting hairs', 'new music', 'track', 'single', 'rap', 'hip hop', 'pop', 'alternative r&b', 'glitch hop', 'experimental pop']"
Death Grips,"""More Than the Fairy"" ft. Les Claypool",4-Jun-16,,"['les claypool', 'new music', 'track', 'single', 'rap', 'hip hop', 'experimental hip hop', 'digital hardcore', 'noise rock', 'glitch hop', 'industrial hip hop']"
BADBADNOTGOOD,"""Confessions Pt. II"" ft. Colin Stetson",4-Jun-16,,"['confessions pt. II', 'colin stetson', 'new music', 'track', 'iv', 'innovative leisure', 'jazz', 'nu jazz', 'jazz fusion', 'other']"
VHÖL,"""Dispatch""",4-Jun-16,,"['new music', 'track', 'single', 'adult swim', 'loud rock', 'heavy metal', 'thrash metal', 'speed metal']"
The Strokes,Future Present Past,6-Jun-16,3,"['ep', 'cult', 'rock', 'indie rock', 'lo-fi', 'pop rock', 'post-punk', 'new wave', '3/10']"
Premiere: ELUCID,"""Wake Up Dead Man"" (Milo Remix)",6-Jun-16,,"['milo', 'new music', 'track', 'remix', 'premiere', 'save yourself', 'backwoodz studioz', 'rap', 'hip hop', 'east coast', 'abstract hip hop']"
Premiere,H.V.R.F. Sampler #1,7-Jun-16,,"['new music', 'compilation', 'premiere', 'ukraine', 'hardvapour', 'electronic', 'ambient', 'gabber', 'techno', 'industrial']"
Premiere,H.V.R.F. Sampler #1,7-Jun-16,,"['new music', 'compilation', 'premiere', 'ukraine', 'hardvapour', 'electronic', 'ambient', 'gabber', 'techno', 'industrial']"
Vic Mensa,There's Alot Going On,7-Jun-16,5,"['ep', 'roc nation', 'rap', 'hip hop', 'pop rap', 'trap', '5/10']"
Olga Bell,Tempo,8-Jun-16,7,"['one little indian', 'pop', 'synthpop', 'art pop', 'techno', 'house', '7/10']"
Joey Purp,iiiDrops,9-Jun-16,7,"['mixtape', 'self-released', 'rap', 'hip hop', '7/10']"
Xenia Rubinos,Black Terry Cat,11-Jun-16,8,"['anti', 'pop', 'art pop', 'alternative r&b', 'neo-soul', '8/10']"
Patti Smith,Horses,13-Jun-16,,"['sony', '1975', 'rock', 'art rock', 'proto-punk', 'art punk', 'classic']"
Nas,Illmatic,14-Jun-16,,"['1994', 'columbia', 'rap', 'hip hop', 'east coast', 'boom bap', 'classic']"
Nirvana,In Utero,15-Jun-16,,"['1993', 'dgc', 'rock', 'alternative rock', 'noise rock', 'grunge', 'classic']"
Yes,Close to the Edge,16-Jun-16,,"['1972', 'atlantic', 'rock', 'progressive rock', 'symphonic prog', 'classic']"
Hot Dad,"""R.I.P. Meme"" ft. FrankJavCee",17-Jun-16,,"['r.i.p. meme', 'new music', 'track', 'single', 'video', 'synthwave', 'electronic', 'comedy', 'internet', 'other']"
The Avalanches,"""Colours"" ft. Jonathan Donahue",17-Jun-16,,"['wildflower', 'new music', 'track', 'single', 'electronic', 'neo-psychedelia', 'plunderphonics', 'alternative dance', 'jonathan donahue', 'mercury rev']"
Danny Brown,"""When It Rain"" (Video)",17-Jun-16,,"['new music', 'track', 'single', 'video', 'rap', 'hip hop', 'warp']"
clipping.,Wriggle,17-Jun-16,,"['new music', 'ep', 'sub pop', 'rap', 'hip hop', 'noise']"
Eric Copeland,"""Rip It""",17-Jun-16,,"['new music', 'track', 'single', 'black bubblegum', 'dfa', 'electronic', 'experimental pop']"
BADBADNOTGOOD,"""Lavender"" ft. Kaytranada",17-Jun-16,,"['kaytranada', 'lavender', 'new music', 'track', 'single', 'iv', 'innovative leisure', 'jazz', 'nu jazz', 'instrumental hip hop', 'other']"
Preoccupations,"""Anxiety"" (Video)",17-Jun-16,,"['new music', 'track', 'single', 'jagjaguwar', 'rock', 'post-punk', 'viet cong']"
Clams Casino,"""All Nite"" ft. Vince Staples",17-Jun-16,,"['vince staples', 'new music', 'track', 'single', '32 levels', 'columbia', 'electronic', 'hip hop', 'cloud rap']"
Nails,"""Life Is a Death Sentence""",17-Jun-16,,"['you will never be one of us', 'new music', 'track', 'single', 'nuclear blast', 'loud rock', 'grindcore', 'powerviolence']"
The Microphones,"""The Glow"" Pt. 2",17-Jun-16,,"['2001', 'k', 'other', 'singer-songwriter', 'lo-fi indie', 'folk', 'noise rock', 'ambient', 'classic']"
David Bowie,The Rise and Fall of Ziggy Stardust and the Spiders from Mars,19-Jun-16,,"['the rise and fall of ziggy stardust and the spiders from mars', '1972', 'rca', 'rock', 'glam rock', 'pop rock', 'classic']"
David Bowie,The Rise and Fall of Ziggy Stardust and the Spiders from Mars,19-Jun-16,,"['the rise and fall of ziggy stardust and the spiders from mars', '1972', 'rca', 'rock', 'glam rock', 'pop rock', 'classic']"
YG,Still Brazy,20-Jun-16,8,"['def jam', 'rap', 'hip hop', 'west coast', 'g-funk', '8/10']"
Nails,You Will Never Be One of Us,21-Jun-16,8,"['nuclear blast', 'loud rock', 'powerviolence', 'metalcore', 'hardcore punk', 'crust punk', 'grindcore', 'sludge metal', '8/10']"
Jon Bellion,The Human Condition,22-Jun-16,5,"['capitol', 'pop', 'rap', 'hip hop', 'pop rap', '5/10']"
clipping.,Wriggle,23-Jun-16,7,"['ep', 'sub pop', 'rap', 'hip hop', 'noise', '7/10']"
Swans,The Glowing Man,24-Jun-16,9,"['young god', 'rock', 'experimental rock', 'post-punk', 'noise rock', 'psychedelic rock', 'drone', 'neofolk', '9/10']"
Kodak Black,Lil Big Pac,25-Jun-16,3,"['mixtape', 'dollaz n dealz', 'rap', 'hip hop', 'trap', '3/10']"
Kodak Black,Lil Big Pac,25-Jun-16,3,"['mixtape', 'dollaz n dealz', 'rap', 'hip hop', 'trap', '3/10']"
Sigur Rós,"""Óveður""",26-Jun-16,,"['new music', 'track', 'single', 'video', 'xl', 'rock', 'ambient pop', 'post-rock', 'post-industrial']"
Show Me the Body,"""Body War""",26-Jun-16,,"['new music', 'track', 'video', 'self-released', 'rock', 'post-punk', 'experimental hip hop']"
Clooner,"""Let Me Be""",26-Jun-16,,"['new music', 'track', 'single', 'video', 'rap', 'hip hop', 'comedy']"
Nite-Funk,"""Let Me Be Me""",26-Jun-16,,"['nite jewel', 'new music', 'track', 'single', 'let me be me', 'glydezone', 'funk', 'synth funk', 'pop', 'alternative r&b', 'synthpop']"
The Tallest Man on Earth,"""Time of the Blue""",26-Jun-16,,"['new music', 'track', 'single', 'video', 'gravitation', 'singer-songwriter', 'contemporary folk', 'other']"
Gucci Mane,"""All My Children""",26-Jun-16,,"['new music', 'track', 'single', 'atlantic', 'rap', 'hip hop', 'trap', 'southern hip hop']"
Touché Amoré,"""Palm Dreams""",26-Jun-16,,"['new music', 'track', 'single', 'stage four', 'epitaph', 'rock', 'post-hardcore', 'screamo', 'indie rock', 'pop punk']"
Red Hot Chili Peppers,The Getaway,28-Jun-16,5,"['warner bros', 'rock', 'alternative rock', 'funk rock', 'pop rock', '5/10']"
case / lang / veirs,Self-Titled,30-Jun-16,7,"['k.d. lang', 'neko case', 'laura veirs', 'collaboration', 'anti', 'singer-songwriter', 'contemporary folk', 'chamber pop', 'pop', '7/10']"
Desiigner,New English,2-Jul-16,Not Good,"['mixtape', 'tidal', 'rap', 'hip hop', 'trap']"
ScHoolboy Q,"""Tookie Knows II""",3-Jul-16,,"['blank face lp', 'new music', 'track', 'video', 'top dawg', 'tde', 'rap', 'hip hop', 'west coast']"
Ghoul,"""Bringer of War""",3-Jul-16,,"['dungeon bastards', 'new music', 'track', 'single', 'tankcrimes', 'loud rock', 'death metal', 'thrash metal']"
clipping.,"""Wriggle""",3-Jul-16,,"['new music', 'track', 'video', 'sub pop', 'hip hop', 'noise', 'rap']"
Angel Olsen,"""Shut Up Kiss Me""",3-Jul-16,,"['my woman', 'new music', 'track', 'video', 'single', 'jagjaguwar', 'rock', 'singer-songwriter', 'indie pop', 'new wave']"
BADBADNOTGOOD,"""In Your Eyes"" Ft. Charlotte Day Wilson",3-Jul-16,,"['in your eyes', 'charlotte day wilson', 'iv', 'new music', 'track', 'single', 'innovative leisure', 'soul', 'jazz', 'other']"
Maxo Kream,The Persona Tape,3-Jul-16,,"['mixtape', 'new music', 'rap', 'hip hop', 'trap', 'cloud rap', 'southern hip hop', 'grime']"
Maxo Kream,The Persona Tape,3-Jul-16,,"['mixtape', 'new music', 'rap', 'hip hop', 'trap', 'cloud rap', 'southern hip hop', 'grime']"
Thelonious Martin,"""Bomaye"" ft. Joey Purp",3-Jul-16,,"['bomaye', 'new music', 'track', 'single', 'adult swim', 'rap', 'hip hop', 'chicago']"
Blood Orange,Freetown Sound,4-Jul-16,6,"['domino', 'pop', 'synthpop', 'contemporary r&b', 'synth funk', '6/10']"
Blood Orange,Freetown Sound,4-Jul-16,6,"['domino', 'pop', 'synthpop', 'contemporary r&b', 'synth funk', '6/10']"
Logic,Bobby Tarantino,6-Jul-16,5,"['mixtape', 'rap', 'hip hop', 'pop rap', 'trap', 'jazz rap', '5/10']"
The Avalanches,Wildflower,8-Jul-16,7,"['xl', 'electronic', 'plunderphonics', 'neo-psychedelia', 'hip hop', 'nu-disco', 'alternative dance', 'instrumental hip hop', '7/10']"
Blink-182,California,9-Jul-16,Not Good,"['bmg', 'rock', 'pop punk', 'alternative rock']"
Defiled,"""Fear from Above""",10-Jul-16,,"['towards inevitable ruin', 'new music', 'track', 'season of mist', 'loud rock', 'death metal', 'brutal death metal']"
Gucci Mane,"""First Day out tha Feds""",10-Jul-16,,"['new music', 'track', 'video', 'rap', 'hip hop', 'trap', 'southern hip hop', 'everybody looking']"
Carnage,"""Mase in '97"" ft. Lil Yachty",10-Jul-16,,"[""mase in '97"", 'new music', 'track', 'video', 'rap', 'hip hop', 'west coast', 'trap']"
IGLOOGHOST,ᴗ ˳ ᴗ Snoring (Music to Sleep To),10-Jul-16,,"['music to sleep to', 'new music', 'track', 'electronic', 'ambient', 'wonky', 'bubblegum bass', 'modern classical']"
