Artists,Album,Date,Year,Score,Tags,Genres
shabazz palaces,LESE MAJESTY,25-Jul-14,2014,5,"['sub pop', 'experimental hip hop, abstract hip hop, psychedelic hip hop']","hip hop,pop,psychedelic,experimental"
fallujah,THE FLESH PREVAILS,28-Jul-14,2014,4,"['unique leader', 'technical death metal, progressive metal']",metal
how to dress well,WHAT IS THIS HEART?,29-Jul-14,2014,6,"['weird world', 'contemporary r&b, ambient pop, dream pop']","pop,r&b,ambient"
joyce manor,NEVER HUNGOVER AGAIN,29-Jul-14,2014,6,"['epitaph records', 'pop punk, emo, punk rock']","pop,rock,punk"
common,NOBODY SMILING,1-Aug-14,2014,6,"['g.o.o.d. music', 'conscious hip hop, pop rap']","hip hop,pop"
kyary pamyu pamyu,PIKAPIKA FANTAJIN,5-Aug-14,2014,7,"['warner music japan', 'j-pop, dance pop, electropop']","pop,dance"
spoon,THEY WANT MY SOUL,7-Aug-14,2014,7,"['loma vista', 'indie rock, pop rock, alternative rock']","pop,rock"
partynextdoor,TWO,8-Aug-14,2014,2,"['ovo', 'alternative r&b', 'pop', 'r&b', 'contemporary r&b', 'dancehall']","pop,r&b,dance"
porter robinson,WORLDS,11-Aug-14,2014,5,"['astralwerksssss', 'edm, glistening indie pop, dream pop, chillwave']",pop
otis brown iii,THE THOUGHT OF YOU,12-Aug-14,2014,7,"['blue note & revive', 'good jazzy times']",jazz
the underachievers,CELLAR DOOR: TERMINUS UT EXORDIUM,13-Aug-14,2014,7,"['rpm msc', 'hardcore hip hop, abstract hip hop, 3rd eye shit, psychedelic hip hop, trippy trap, east coast hip hop']","hip hop,psychedelic"
mick jenkins,THE WATER[S],14-Aug-14,2014,8,"['self-released cuz he does it for the free', 'conscious hip hop, hardcore hip hop, cloud rap, water rap']",hip hop
fka twigs,LP1,16-Aug-14,2014,8,"['young turks', 'art pop, contemporary r&b, alternative r&b, wonky, trippy pop magic future stuff']","pop,r&b"
spooky black,LEAVING EP,18-Aug-14,2014,5,"['self-released', 'alternative r&b, cloud singing pop']","pop,r&b"
antemasque,ANTEMASQUE ,19-Aug-14,2014,7,"['nadie', 'alternative rock, power pop, post-hardcore']","pop,rock"
watsky,ALL YOU CAN DO,20-Aug-14,2014,4,"['self-released, i think', 'pop rap', 'hip hop']","hip hop,pop"
michael cera,TRUE THAT,22-Aug-14,2014,5,"['self-released', 'indie folk, quaint soundtrack-worky lo-fi instrumentals, piano cuteness']",folk
uncommon nasa,NEW YORK TELEPHONE,25-Aug-14,2014,8,"['uncommon records', 'abstract hip hop, experimental hip hop, conscious hip hop']","hip hop,experimental"
pallbearer,FOUNDATIONS OF BURDEN,26-Aug-14,2014,6,"['profound lore', 'traditional doom metal']",metal
raury,INDIGO CHILD,27-Aug-14,2014,4,"['self-released', 'indie folk, hip hop']","hip hop,folk"
travi$ scott,DAYS BEFORE RODEO,29-Aug-14,2014,3,"['grand hustle', 'southern hip hop, internet raps, trap rap']",hip hop
ty segall,MANIPULATOR,30-Aug-14,2014,6,"['drag city', 'psychedelic rock, garage rock, garage punk']","rock,punk,psychedelic"
code orange,I AM KING,1-Sep-14,2014,6,"['deathwish inc.', 'hardcore punk, metalcore, sludgecore, balloucore']","punk,metal"
zammuto,ANCHOR,1-Sep-14,2014,6,"['temporary residence ltd.', 'folktronica, art pop, art rock']","pop,rock,folk"
blonde redhead,Barragan,4-Sep-14,2014,6,"['self-released', 'indie pop, dream pop']",pop
the bug,ANGELS & DEVILS,5-Sep-14,2014,6,"['ninja tune', 'dubstep, trap, ambient, grime, idm, dancehall, industrial hip hop']","hip hop,dance,ambient"
death from above 1979,THE PHYSICAL WORLD,10-Sep-14,2014,6,"['last gang', 'dance-punk, punk rock, noise rock']","dance,rock,punk"
earth,PRIMITIVE AND DEADLY,20-Sep-14,2014,6,"['southern lord', 'stoner rock, psychedelic rock, doom metal']","rock,metal,psychedelic"
yung lean,UNKNOWN MEMORY,22-Sep-14,2014,4,"['lean enterprises inc.', 'cloud rap', 'hip hop']",hip hop
banks,GODDESS,25-Sep-14,2014,5,"['harvest', 'art pop, alternative r&b, neo-soul from the future']","pop,r&b,soul"
nehruviandoom,NEHRUVIANDOOM ,25-Sep-14,2014,5,"['lex records', 'east coast hip hop']",hip hop
aphex twin,SYRO,26-Sep-14,2014,6,"['warp records', 'idm, drum and bass', 'dance']",dance
busdriver,PERFECT HAIR,28-Sep-14,2014,8,"['big dada', 'art rap, abstract hip hop, experimental hip hop, confounding raps, hellfyre magic, jazz rap']","hip hop,jazz,experimental"
"julian casablancas<,>the voidz",TYRANNY,1-Oct-14,2014,7,"['cult records', 'noise pop,']",pop
perfume genius,TOO BRIGHT,3-Oct-14,2014,8,"['matador', 'singer-songwriter, art pop, chamber pop']","pop,singer-songwriter"
thom yorke,TOMORROW'S MODERN BOXES,4-Oct-14,2014,6,"['self-released', 'art pop, glitch pop, ambient pop, microhouse']","pop,house,ambient"
shellac,DUDE INCREDIBLE,7-Oct-14,2014,6,"['touch and go', 'post-hardcore, math rock, noise rock']",rock
iceage,PLOWING INTO THE FIELD OF LOVE,7-Oct-14,2014,9,"['matador', 'noise rock, post-punk, gothic rock, depressing punk jamz, rockabilly...sort of...']","rock,punk"
sbtrkt,WONDER WHERE WE LAND,8-Oct-14,2014,5,"['young turks', 'alternative r&b, future garage,']",r&b
flying lotus,YOU'RE DEAD,9-Oct-14,2014,8,"['warp records', 'wonky, futuristic jazz fusion, idm, experimental hip hop, nu jazz', 'neo jazz']","hip hop,jazz,experimental"
childish gambino,STN MTN,14-Oct-14,2014,4,"['kauai', 'southern hip hop, pop rap, new atlanta, contemporary r&b, pop']","hip hop,pop,r&b"
caribou,OUR LOVE,14-Oct-14,2014,6,"['merge', 'dance-pop, kinda edm, microhouse, house, chillwave vibes, tech house']","pop,dance,house"
electric wizard,TIME TO DIE,15-Oct-14,2014,5,"['spinefarm', 'sludge metal, doom metal, stoner rock, heavy psych']","rock,metal"
alt j,THIS IS ALL YOURS,15-Oct-14,2014,7,"['infectious & warner bros.', 'art pop, indie pop, folktronica, progressive pop']","pop,folk"
weezer,EVERYTHING WILL BE ALRIGHT IN THE END,16-Oct-14,2014,7,"['republic', 'alternative rock, power pop, pop rock']","pop,rock"
my brightest diamond,THIS IS MY HAND,17-Oct-14,2014,7,"['asthmatic kitty', 'baroque pop, chamber pop, art pop']",pop
godflesh,A WORLD LIT ONLY BY FIRE,18-Oct-14,2014,7,"['avalanche', 'industrial metal']",metal
foxygen,...AND STAR POWER,20-Oct-14,2014,2,"['jagjaguwar', 'psychedelic pop, psychedelic rock, garage rock, lo-fi, nostalgic noise and dissonance']","pop,rock,psychedelic"
"scott walker<,>sunn o)))",SOUSED,22-Oct-14,2014,6,"['4ad', 'drone metal, experimental rock, dark ambient']","ambient,rock,metal,experimental"
sir michael rocks,BANCO,22-Oct-14,2014,7,"['self-released', 'pop rap, trap-flavored silliness w', 'some fun no the side', 'hip hop']","hip hop,pop"
vince staples,HELL CAN WAIT,23-Oct-14,2014,7,"['def jam', 'hardcore hip hop, trap rap, west coast hip hop, gangsta rap']",hip hop
logic,UNDER PRESSURE,24-Oct-14,2014,6,"['def jam', 'pop rap, conscious hip hop']","hip hop,pop"
run the jewels,RUN THE JEWELS 2,27-Oct-14,2014,8,"['mass appeal', 'hardcore hip hop']",hip hop
royal blood,ROYAL BLOOD ,28-Oct-14,2014,5,"['warner bros.', 'alternative rock, hard rock']",rock
clockwork indigo,CLOCKWORK INDIGO EP,28-Oct-14,2014,7,"['self-released', 'hardcore hip hop']",hip hop
panda bear,MR. NOAH,29-Oct-14,2014,6,"['domino records', 'neo-psychedelia, electronic, psychedelic pop']","pop,electronic,psychedelic"
botanist,VI: FLORA,30-Oct-14,2014,8,"['the flenser', 'black metal, blackgaze']",metal
pharmakon,BEASTIAL BURDEN,31-Oct-14,2014,5,"['sacred bones records', 'death industrial, noise, power electronics, industrial noise']",electronic
black milk,IF THERE'S A HELL BELOW,3-Nov-14,2014,6,"['computer ugly', 'hip hop']",hip hop
deerhoof,LA ISLA BONITA,4-Nov-14,2014,7,"['polyvinyl', 'art pop, noise pop, indie rock']","pop,rock"
the world is a beautiful place and i am no longer afraid to die,BETWEEN BODIES,5-Nov-14,2014,5,"['self-released???', 'emo, post-rock, spoken word']",rock
arca,XEN,6-Nov-14,2014,6,"['mute records', 'progressive electronic, minimal synth, glitch']",electronic
big k.r.i.t.,CADILLACTICA,7-Nov-14,2014,6,"['def jam', 'southern hip hop, pop rap']","hip hop,pop"
kayo dot,COFFINS ON IO,8-Nov-14,2014,6,"['the flenser', 'progressive rock, darkwave, goth rock']",rock
wildbirds & peacedrums,RHYTHM,10-Nov-14,2014,8,"['leaf label', 'art pop']",pop
azealia banks,BROKE WITH EXPENSIVE TASTE,11-Nov-14,2014,5,"['capitol', 'pop rap, hip house', 'hip hop']","hip hop,pop,house"
pianos become the teeth,KEEP YOU,12-Nov-14,2014,4,['alternative rock'],rock
dean blunt,BLACK METAL,12-Nov-14,2014,8,"['rough trade', 'art pop, singer-songwriter, neo-psychedelia, ""hypnagogic pop""']","pop,singer-songwriter"
iamamiwhoami,BLUE,16-Nov-14,2014,6,"['to whom it may concern', 'synth pop, electropop']",pop
ariel pink,POM POM,17-Nov-14,2014,9,"['4ad', 'synth pop, lo-fi, noise pop, hard rock, post-punk, new wave, post-nostalgia, absurdist post-modernism']","pop,rock,punk"
sterilizer,STERILIZER ,19-Nov-14,2014,7,"['expiring sun', 'industrial metal, noise rock']","rock,metal"
pink floyd,THE ENDLESS RIVER,20-Nov-14,2014,6,"['parlophone', 'art rock, ambient, new age rock magic']","ambient,rock"
megaton leviathan,PAST 21: BEYOND THE ARCTIC CELL,20-Nov-14,2014,7,"['seventh rule', 'doom metal, post-rock']","rock,metal"
i am your destruction,I AM YOUR DESTRUCTION ,23-Nov-14,2014,7,"['thebasebit recordings', 'chiptune, edm, trap, dubstep, chipstep', 'hip hop']",hip hop
tv on the radio,SEEDS,24-Nov-14,2014,6,"['harvest', 'indie rock, indie pop, indietronica, art rock']","pop,rock"
mr. oizo,THE CHURCH,25-Nov-14,2014,7,"['brainfeeder', 'wonky, electro house, glitch, tech house']",house
andy stott,FAITH IN STRANGERS,26-Nov-14,2014,7,"['modern love', 'ambient techno, dubstep, trap, ambient,', 'hip hop']","hip hop,techno,ambient"
clark,CLARK ,2-Dec-14,2014,6,"['warp records', 'idm, glitch, techno, tech house, ambient techno']","house,techno,ambient"
a$ap ferg,FERG FOREVER,3-Dec-14,2014,7,"['gangsta grillz', 'gangsta rap, trap, cloud rap, southern hip hop, east coast hip hop']",hip hop
various artists,SHADY XV,4-Dec-14,2014,4,"['shady records', 'hardcore hip hop, pop rap, horrorcore']","hip hop,pop"
the wytches,ANNABEL DREAM READER,5-Dec-14,2014,8,"['heavenly', 'garage rock, post-punk, surf rock, psychedelic rock, horror punk']","rock,punk,psychedelic"
ghostface killah,36 SEASONS,7-Dec-14,2014,5,"['tommy boy', 'hardcore hip hop, boom bap, east coast hip hop']",hip hop
j. cole,2014 FOREST HILLS DRIVE,8-Dec-14,2014,6,"['roc nation', 'hip hop, pop rap, smooth rap, nothing was the same-core, r&b-ish']","hip hop,pop,r&b"
wu-tang clan,A BETTER TOMORROW,9-Dec-14,2014,6,"['warner bros.', 'hardcore hip hop, east coast hip hop']",hip hop
full of hell,FULL OF HELL & MERZBOW,9-Dec-14,2014,8,"['profound lore', 'noise, grindcore, crust punk, powerviolence, metalcore']","punk,metal"
foo fighters,SONIC HIGHWAYS,10-Dec-14,2014,5,"['roswell', 'alternative rock, hard rock']",rock
og maco,OG MACO EP,11-Dec-14,2014,7,"['quality control', 'trap rap, experimental hip hop, cloud rap']","hip hop,experimental"
hail mary mallon,BESTIARY,12-Dec-14,2014,5,"['rhymesayers', 'abstract hip hop']",hip hop
d'angelo and the vanguard,BLACK MESSIAH,16-Dec-14,2014,8,"['rca', 'r&b, funk rock, neo-soul, lo-fi psych soul']","r&b,soul,funk,rock"
death grips,FASHION WEEK,11-Jan-15,2015,7,"['third worlds', 'industrial hip hop instrumentals, idm,']",hip hop
viet cong,VIET CONG ,13-Jan-15,2015,7,"['jagjaguwar', 'noise rock, post-punk, indie rock, psychedelic rock']","rock,punk,psychedelic"
sleater,KINNEY - NO CITIES TO LOVE,14-Jan-15,2015,7,"['sub pop', 'indie rock, post-punk, punk rock']","pop,rock,punk"
panda bear,PANDA BEAR MEETS THE GRIM REAPER,15-Jan-15,2015,4,"['domino', 'psychedelic pop']","pop,psychedelic"
marilyn manson,THE PALE EMPEROR,16-Jan-15,2015,6,"['cooking vinyl', 'alternative rock, acoustic rock']",rock
joey bada$$,B4.DA.$$,20-Jan-15,2015,8,"['cinematic music group', 'east coast hip hop, harcore hip hop, jazz rap, boom bap']","hip hop,jazz"
belle and sebastian,GIRLS IN PEACETIME WANT TO DANCE,21-Jan-15,2015,6,"['matador', 'baroque pop, dance pop, synth pop']","pop,dance"
napalm death,APEX PREDATOR -- EASY MEAT,22-Jan-15,2015,8,"['century media', 'grindcore, deathgrind', 'death metal', 'rock']","rock,metal"
lupe fiasco,TETSUO & YOUTH,23-Jan-15,2015,7,"['atlantic', 'conscious hip hop, jazz rap, pop rap']","hip hop,pop,jazz"
bjork,VULNICURA,27-Jan-15,2015,8,"['one little indian', 'art pop, chamber pop, glitch pop']",pop
title fight,HYPERVIEW,28-Jan-15,2015,4,"['anti-', 'indie rock, shoegaze, twangy dream rock']",rock
mount eerie,SAUNA,29-Jan-15,2015,6,"['p.w. elverum & sun', 'lo-fi, avant-folk, drone, ambient']","ambient,folk"
xibalba,TIERRA & LIBERTAD,30-Jan-15,2015,6,"['southern lord', 'metalcore, hardcore, beatdown hardcore, sludge metal']",metal
zs,XE,3-Feb-15,2015,8,"['northern spy records', 'experimental rock, jazz rock, minimalist rock, psych, drone, noise, avant-garde']","jazz,rock,experimental"
john carpenter,LOST THEMES,4-Feb-15,2015,7,"['sacred bones records', 'progressive electronic, horror synth, soundtrack creepiness']",electronic
matana roberts,COIN COIN CHAPTER 3: RIVER RUN THEE,5-Feb-15,2015,6,"['constellation records', 'drone, spiritual jazz']",jazz
matana roberts,Coin Coin Chapter 3: River Run Thee,6-Feb-15,2015,6,"['drone', 'jazz', 'matana roberts', 'spiritual', '6/10']",jazz
open mike eagle,A Special Episode Of EP,6-Feb-15,2015,8,"['hip hop', 'open mike eagle', 'rap', '8/10']",hip hop
father john misty,"I Love You, Honeybear",11-Feb-15,2015,8,"['chateau lobby #4', 'contemporary folk', 'father john misty', 'fleet foxes', 'i love you honeybear', 'j- tillman', 'reviews', 'singer-songwriter', '8/10']","singer-songwriter,folk"
pond,"MAN, IT FEELS LIKE SPACE AGAIN",12-Feb-15,2015,6,"['modular', 'psychedelic pop, garage rock, neo-psych, psychedelic pop']","pop,rock,psychedelic"
your old droog,KINISON EP,13-Feb-15,2015,8,"['self-released', 'hardcore hip hop, east coast hip hop']",hip hop
drake,"IF YOU'RE READING THIS, IT'S TOO LATE",16-Feb-15,2015,8,"['ymcmb', 'pop rap, contemporary r&b', 'hip hop']","hip hop,pop,r&b"
"badbadnotgood<,>ghostface killah",SOUR SOUL,17-Feb-15,2015,6,"['lex records', 'hardcore hip hop, jazz rap']","hip hop,jazz"
adventures,SUPERSONIC HOME,18-Feb-15,2015,7,"['run for cover records', 'power pop, emo, indie pop, indie rock, jangle pop']","pop,rock"
theesatisfaction,EARTHEE,20-Feb-15,2015,7,"['sub pop records', 'alternative r&b, futuristic neo-soul, abstract hip hop']","hip hop,pop,r&b,soul"
screaming females,ROSE MOUNTAIN,23-Feb-15,2015,6,"['don giovanni records', 'indie rock, punk rock']","rock,punk"
the pop group,CITIZEN ZOMBIE,24-Feb-15,2015,9,"['freaks r us', 'post-punk, experimental rock, art punk, noise rock']","rock,punk,experimental"
negura bunget,Tau,25-Feb-15,2015,5,"['prophecy productions', 'black metal, progressive metal, folk metal']","metal,folk"
dan deacon,GLISS RIFFER,27-Feb-15,2015,5,"['domino', 'dance', 'electronic']","electronic,dance"
swain,HEAVY DANCING,2-Mar-15,2015,7,"['ruins records', 'hardcore punk, grunge']",punk
jeff rosenstock,WE COOL?,2-Mar-15,2015,8,"['side one dummy', 'pop punk, indie rock, alt-country, singer-songwriter']","pop,rock,punk,singer-songwriter,country"
fashawn,THE ECOLOGY,3-Mar-15,2015,5,"['mass appeal', 'pop rap, hardcore hip hop, west coast hip hop']","hip hop,pop"
cannibal ox,BLADE OF THE RONIN,4-Mar-15,2015,5,"['ihiphop distribution', 'hardcore hip hop, new york hip hop']",hip hop
pile,YOU'RE BETTER THAN THIS,5-Mar-15,2015,6,"['exploding in sound records', 'indie rock, post-hardcore']",rock
leviathan,SCAR SIGHTED,6-Mar-15,2015,8,"['profound lore', 'black metal, blackened death metal, progressive metal, experimental metal, creepy spoken word passages, absolutely twisted shit']","metal,experimental"
heems,EAT. PRAY. THUG.,10-Mar-15,2015,4,"['megaforce', 'pop rap, trap rap, east coast hip hop, conscious hip hop, abstract hip hp']","hip hop,pop"
steven wilson,HAND. CANNOT. ERASE.,11-Mar-15,2015,6,"['kscope', 'progressive rock, art rock, pop rock']","pop,rock"
lightning bolt,FANTASY EMPIRE,12-Mar-15,2015,7,"['thrill jockey', 'noise rock, neo-psych, math rock, experimental rock']","rock,experimental"
clarence clarity,NO NOW,12-Mar-15,2015,8,"['bella union', 'alternative r&b, glitch&b, experimental pop, psychedelic pop']","pop,r&b,psychedelic,experimental"
modest mouse,STRANGERS TO OURSELVES,16-Mar-15,2015,5,"['glacial pace', 'indie rock, indie pop, alternative rock']","pop,rock"
of montreal,AUREATE GLOOM,16-Mar-15,2015,6,"['polyvinyl', 'psychedelic rock, hard rock, glam rock, pop rock, garage rock, indie rock']","pop,rock,psychedelic"
kendrick lamar,TO PIMP A BUTTERFLY,18-Mar-15,2015,10,"['top dawg entertainment', 'conscious hip hop, hardcore hip hop, jazz rap, abstract hip hop']","hip hop,jazz"
death grips,THE POWERS THAT B,23-Mar-15,2015,9,"['harvest records', 'industrial hip hop', 'experimental hip hop', 'hardcore punk', 'psychedelic sound terrorism']","hip hop,punk,psychedelic,experimental"
sufjan stevens,CARRIE & LOWELL,24-Mar-15,2015,7,"['asthmatic kitty', 'singer-songwriter, contemporary folk, indie folk, chamber folk']","singer-songwriter,folk"
action bronson,MR. WONDERFUL,25-Mar-15,2015,5,"['atlantic', 'east coast hip hop, rap rock, blues rock, pop rap']","hip hop,pop,rock"
godspeed you! black emperor,"ASUNDER, SWEET AND OTHER DISTRESS",25-Mar-15,2015,6,"['constellation records', 'post-rock, experimental rock']","rock,experimental"
liturgy,THE ARK WORK,26-Mar-15,2015,7,"['thrill jockey', 'experimental rock, transcendental black metal, midi classical, glitch']","rock,metal,experimental"
earl sweatshirt,"I DON'T LIKE SHIT, I DON'T GO OUTSIDE, 2015",28-Mar-15,2015,6,"['tan cressida', 'abstract hip hop, hardcore hip hop, cloud rap, sad hip hop, dark depressing hop']",hip hop
purity ring,ANOTHER ETERNITY,31-Mar-15,2015,4,"['4ad', 'synth pop, electropop']",pop
portico,LIVING FIELDS,2-Apr-15,2015,3,"['ninja tune', 'art pop, alternative r&b']","pop,r&b"
billy woods,"TODAY, I WROTE NOTHING",3-Apr-15,2015,7,"['backwoodz studioz', 'hardcore hip hop, abstract hip hop']",hip hop
courtney barnett,"SOMETIMES I SIT AND THINK, AND SOMETIMES I JUST SIT",6-Apr-15,2015,5,"['mom + pop', 'indie rock, singer-songwriter, garage rock, alternative singer-songwriter']","pop,rock,singer-songwriter"
young fathers,WHITE MEN ARE BLACK MEN TOO,7-Apr-15,2015,8,"['big dada', 'lo-fi pop, noise pop, experimental hip hop, grimy soul']","hip hop,pop,soul,experimental"
shlohmo,DARK RED,8-Apr-15,2015,6,"['true panther sounds', 'trap, wonky, horror synth, clou rap (w', 'no raps), synthetic gloom', 'hip hop']",hip hop
twin shadow,ECLIPSE,13-Apr-15,2015,3,"['warner bros', 'alternative r&b, arena rock, dangerous nostalgiaa']","r&b,rock"
"tyler, the creator",CHERRY BOMB,14-Apr-15,2015,3,"['odd future records', 'neo-soul, hardcore hip hop']","hip hop,soul"
death cab for cutie,KINTSUGI,15-Apr-15,2015,5,"['atlantic records', 'indie rock']",rock
the mountain goats,BEAT THE CHAMP,17-Apr-15,2015,8,"['merge records', 'indie folk, singer-songwriter']","singer-songwriter,folk"
dance gavin dance,INSTANT GRATIFICATION,20-Apr-15,2015,1,"['rise records', 'post-hardcore, math rock']",rock
squarepusher,DAMOGEN FURIES,20-Apr-15,2015,6,"['warp', 'electronic', ""drill 'n' bass"", 'drum and bass', 'glitch', 'idm', 'ambient', '7/10']","electronic,ambient"
young thug,BARTER 6,21-Apr-15,2015,5,"['atlantic', 'trap rap, cloud rap, pop rap', 'hip hop']","hip hop,pop"
alabama shakes,SOUND & COLOR,22-Apr-15,2015,8,"['ato', 'southern rock, soul, garage rock']","soul,rock"
marching church,THIS WORLD IS NOT ENOUGH,23-Apr-15,2015,6,"['sacred bones', 'post-punk, noise rock, experimental rock, art punk']","rock,punk,experimental"
toro y moi,WHAT FOR?,24-Apr-15,2015,7,"['car park records', 'disco, nu-disco, indie pop, lo-fi, psychedelic pop']","pop,psychedelic"
tribulation,THE CHILDREN OF THE NIGHT,26-Apr-15,2015,7,"['century media', 'black metal, heavy metal, death metal, thrash metal']",metal
yelawolf,LOVE STORY,27-Apr-15,2015,3,"['shady records', 'contemporary country, pop rap', 'hip hop']","hip hop,pop,country"
"colin stetson<,>sarah neufeld",NEVER WERE THE WAY SHE WAS,28-Apr-15,2015,8,"['constellation', 'experimental, modern classical, minimalism, post-minimalism']",experimental
paul de jong,IF,29-Apr-15,2015,7,"['temporary residence ltd.', 'folktronica, experimental folk, avant folk, ambient, modern classical']","ambient,experimental,folk"
blur,THE MAGIC WHIP,1-May-15,2015,7,"['parlophone', 'alternative rock, art pop, brit pop']","pop,rock"
kamasi washington,THE EPIC,5-May-15,2015,9,"['brainfeeder records', 'post-bop, jazz fusion, spiritual jazz, soul jazz']","soul,jazz"
torres,SPRINTER,7-May-15,2015,5,"['partisan', 'alternative singer-songwriter, alternative rock, grunge']","rock,singer-songwriter"
wale,THE ALBUM ABOUT NOTHING,8-May-15,2015,4,"['mmg', 'pop rap', 'hip hop']","hip hop,pop"
the tallest man on earth,DARK BIRD IS HOME,10-May-15,2015,6,"['dead oceans', 'indie folk, folk pop, singer-songwriter']","pop,singer-songwriter,folk"
hiatus kaiyote,CHOOSE YOUR WEAPON,11-May-15,2015,5,"['sony music', 'neo-soul', 'pop']","pop,soul"
holly herndon,PLATFORM,14-May-15,2015,6,"['4ad', 'art pop, electronic, idm, glitch pop, amsr']","pop,electronic"
snoop dogg,BUSH,15-May-15,2015,5,"['doggystyle', 'synth funk, pop rap', 'hip hop']","hip hop,pop,funk"
blanck mass,DUMB FLESH,15-May-15,2015,6,"['sacred bones', 'electronic, drone, idm, noise, progressive electronic']",electronic
jim o'rourke,SIMPLE SONGS,18-May-15,2015,6,"['drag city', 'singer-songwriter, baroque pop, piano rock']","pop,rock,singer-songwriter"
faith no more,SOL INVICTUS,19-May-15,2015,6,"['reclamation!', 'alternative metal, alternative rock']","rock,metal"
prurient,FROZEN NIAGARA FALLS,20-May-15,2015,8,"['profound lore records', 'noise, ambient, progressive synth, industrial, power electronics']","electronic,ambient"
twenty one pilots,BLURRY FACE,21-May-15,2015,4,"['fueled by ramen', 'pop, pop rap, gentrified reggae jams, dubstep fusion', 'hip hop']","hip hop,pop"
dr. yen lo,DAYS WITH DR YEN LO,25-May-15,2015,6,"['pavlov institute records', 'cloud rap?, spoken hop, gritty eerie lyrical east coast raps, ghost raps', 'hip hop']",hip hop
hop along,PAINTED SHUT,27-May-15,2015,8,"['saddle creek', 'indie rock, indie pop']","pop,rock"
hot chip,WHY MAKE SENSE?,31-May-15,2015,6,"['domino records', 'synth pop, indietronic, deep house, electo house']","pop,house"
a$ap rocky,AT.LONG.LAST.A$AP,2-Jun-15,2015,5,"['rca records', 'cloud rap, trap rap, east coast hip hop, pop rap']","hip hop,pop"
unknown mortal orchestra,MULTI-LOVE,3-Jun-15,2015,8,"['jagjaguwar', 'psych pop, lo-fi, psychedelic soul']","pop,soul,psychedelic"
donnie trumpet & the social experiment,SURF,4-Jun-15,2015,4,"['self-releasled? itunes released?', 'jazz, hip hop, neo-soul']","hip hop,soul,jazz"
algiers,ALGIERS ,4-Jun-15,2015,8,"['matador records', 'post-punk, gospel, blues, industrial rock, noise rock']","rock,punk"
thee oh sees,MUTILATOR DEFEATED AT LAST,5-Jun-15,2015,6,"['castle face', 'psych rock, noise rock, garage rock']",rock
sun kil moon,UNIVERSAL THEMES,9-Jun-15,2015,6,"['caldo verde', 'singer-songwriter, slowcore, folk rock, contemporary folk, musical stories, spoken word']","rock,singer-songwriter,folk"
muse,DRONES,10-Jun-15,2015,5,"['warner bros.', 'pop rock, hard rock, alternative rock']","pop,rock"
florence + the machine,"HOW BIG, HOW BLUE, HOW BEAUTIFUL",11-Jun-15,2015,7,"['island records', 'art pop, alternative pop, chamber pop']",pop
high on fire,LUMINIFEROUS,12-Jun-15,2015,8,"['eone', 'stoner metal, thrash metal, sludge metal']",metal
denzel curry,32 ZEL,15-Jun-15,2015,6,"['planet shrooms', 'self-released', 'trap rap, cloud rap, hardcore hip hop, southern hip hop']",hip hop
hudson mohawke,LANTERN,17-Jun-15,2015,5,"['warp', 'wonky, trap, purple sound, uk bass, alternative r&b', 'hip hop']","hip hop,r&b"
ash koosha,GUUD,18-Jun-15,2015,8,"['olde english spelling bee', 'experimental future electronic beat music from out of this world']","electronic,experimental"
mewithoutyou,PALE HORSES,19-Jun-15,2015,5,"['run for cover', 'indie rock, post-hardcore']",rock
"tyler, the creator",Cherry Bomb,20-Jun-15,2015,3,"['odd future', '3/10', 'neo-soul', 'hardcore hip hop']","hip hop,soul"
ratking,700-FILL,20-Jun-15,2015,4,"['mixtape', '4/10', 'xl', 'east coast hip hop', 'hardcore hip hop', 'abstract hip hop', 'rap']",hip hop
action bronson,Mr. Wonderful,20-Jun-15,2015,5,"['new york', '5/10', 'atlantic', 'east coast hip hop', 'rap rock', 'blues rock', 'pop rap']","hip hop,pop,rock"
dan deacon,Gliss Riffer,20-Jun-15,2015,5,"['5/10', 'domino', 'indietronic', 'electronic', 'neo-psychedelia', 'glitch pop']","pop,electronic"
drenge,Undertow,20-Jun-15,2015,5,"['5/10', 'infectious', 'garage rock', 'post-punk']","rock,punk"
muse,Drones,20-Jun-15,2015,5,"['warner bros', 'rock', '5/10']",rock
shamir,Ratchet,20-Jun-15,2015,5,"['pop', 'pop rap', '5/10', 'hip hop']","hip hop,pop"
young thug,Barter 6,20-Jun-15,2015,5,"['atlanta', '5/10', 'atlantic', 'trap rap', 'cloud rap', 'pop rap', 'hip hop']","hip hop,pop"
jim o'rourke,Simple Songs,20-Jun-15,2015,6,"['6/10', 'sacred bones', 'electronic', 'drone', 'idm', 'noise', 'progressive electronic']",electronic
denzel curry,32 Zel / Planet Shrooms,20-Jun-15,2015,6,"['planet shrooms', 'ep', 'self-released', 'trap rap', 'cloud rap', 'hip hop', '6/10']",hip hop
earl sweatshirt,"I Don't Like Shit, I Don't Go Outside",20-Jun-15,2015,6,"['6/10', 'tan cressida', 'abstract hip hop', 'hardcore hip hop', 'cloud rap']",hip hop
marching church,This World Is Not Enough,20-Jun-15,2015,6,"['sacred bones', '6/10', 'denmark', 'post-punk', 'noise rock', 'experimental rock', 'art punk']","rock,punk,experimental"
